,el_ss,el_sl,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
1941,0.0,0.0,25580.601642857142,83.88999999999999,921.0,2088.623260156447,0.0,0.0,0.0,46.0,25.5,2394.3646,25.054290000000066,7499.0033044436295,1817.834182244498,278.0195,0.0,0.0,2766.8487904444078,27940.500068177083
1942,0.0,0.0,25580.601642857142,83.88999999999999,0.0,1431.5987672118954,0.0,0.0,0.0,46.0,25.5,2394.3646,25.022019999999923,7499.0033044436295,1798.495580498589,278.0195,0.0,0.0,1099.4401803017427,30334.702909565913
1943,0.0,0.0,19300.289078960526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.811400000000035,7499.0033044436295,1799.227824551902,278.0195,0.0,0.0,3019.8532180727943,29641.440376898554
1944,0.0,0.0,16288.067527500525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.70455000000001,7499.0033044436295,1782.9960785287576,278.0195,0.0,0.0,3146.928429901081,28627.965586224967
1945,0.0,0.0,13905.8807589725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.741769999999924,7499.0033044436295,1790.7007603919405,278.0195,0.0,0.0,2724.1430197330824,28172.439623553506
1946,0.0,0.0,13649.465898189006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.293409999999966,7499.0033044436295,1750.2791575067038,278.0195,0.0,0.0,2662.3009943443053,27193.556156772996
1947,0.0,0.0,13293.93434927068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.233989999999967,7499.0033044436295,1820.6993874385385,278.0195,0.0,0.0,2614.930642393385,25944.817924139086
1948,0.0,0.0,13706.59303195501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.186839999999915,7499.0033044436295,1733.9587033599898,278.0195,0.003543216019675427,0.0020997758011747814,2922.944275743319,26590.8083901588
1949,0.0,0.0,16827.17729430875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.124820000000078,7499.0033044436295,1730.4688094039036,278.0195,553.2287548157724,204.725507444298,2975.785545792001,28417.084328057277
1950,0.0,0.0,18714.414552048718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.54571999999996,7499.0033044436295,1768.420933809265,278.0195,3366.892131343642,1119.9150521063286,2612.034147370153,33421.66511598735
1951,0.0,0.0,20798.294497318904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.629969999999986,7499.0033044436295,1788.2877258242474,278.0195,8110.210375246114,2628.7229699096138,2365.9567018000075,37162.1784854445
1952,0.0,0.0,14920.4163807875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.78119999999995,7499.0033044436295,1822.0821171833904,278.0195,13820.4202930619,4231.890645039845,2622.5855682856736,40230.013738410686
1953,0.0,0.0,8913.954492579154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.565829999999927,7499.0033044436295,1797.1847522293313,278.0195,18845.411496814213,5538.0915226488805,2665.1287496061536,39605.17298087282
1954,0.0,0.0,9065.395316950988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.37508999999996,7499.0033044436295,1760.4518199290471,278.0195,21705.303715204882,6258.849671311499,2296.277176749728,37912.10578952246
1955,0.0,0.0,11279.883894032273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.70194999999996,7499.0033044436295,1764.7289134398654,278.0195,22957.748557073854,6485.586062018695,1986.747869234667,35141.515938812314
1956,0.0,0.0,15291.408855189718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.22381000000007,7499.0033044436295,1738.0353569884167,278.0195,21492.37998406817,6012.319776681657,1801.2683908457846,31022.885694935907
1957,0.0,0.0,21226.87189195232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,23.733419999999953,7499.0033044436295,1701.844980680996,278.0195,18692.04351719413,5131.803380924422,2052.825669410861,27507.325007732714
1958,0.0,0.0,25580.601642857142,83.88999999999999,921.0,1930.889764389669,0.0,0.0,0.0,46.0,25.5,2394.3646,23.535329999999966,7499.0033044436295,1718.7298127755396,278.0195,14564.592272635713,3908.928660951573,2222.1279400427907,23640.36911942976
1959,0.0,0.0,25580.601642857142,83.88999999999999,1079.9735842923983,10504.342236227823,0.0,0.0,0.0,46.0,25.5,2394.3646,23.825170000000053,7499.0033044436295,1725.6716109268848,278.0195,9298.214094661513,2474.1109895067793,1550.1507764474395,17512.530028998233
1960,0.0,7358.519150000001,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,23.963809999999942,7499.0033044436295,1733.3229017128358,278.0195,3726.7127808645587,966.7809347845696,1316.4293709260367,6298.519784183475
1961,210.6103329999998,7679.0999999999985,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.585569999999986,7499.0033044436295,1799.9500081029855,278.0195,301.2195169179384,65.46192075584085,874.4576370991116,2865.1764884998097
1962,210.6103329999998,8266.302950000001,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.904989999999927,7499.0033044436295,1799.1591559457447,278.0195,0.0,0.0,893.242000525623,3310.825860654732
1963,147.42723310000017,9452.2,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.902559999999966,7499.0033044436295,1803.4072681534878,278.0195,0.0,0.0,694.7132131886484,4282.925441278091
1964,0.0,4311.1,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.560710000000057,7499.0033044436295,1752.5810132711854,278.0195,0.0,0.0,763.7436283275098,5399.837540998678
1965,0.0,2886.5183850000035,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.179150000000067,7499.0033044436295,1725.121927912938,278.0195,0.0,0.0,746.2852079266893,6608.828533174694
1966,0.0,0.0,25580.601642857142,83.88999999999999,3766.5888571428573,13221.366132331721,360.6,715.7,1226.0333333333333,46.0,25.5,2394.3646,24.238630000000068,7499.0033044436295,1731.5770610279653,278.0195,0.0,0.0,586.2735710602377,7830.1873671948315
1967,0.0,0.0,25580.601642857142,83.88999999999999,2554.4154240238563,13221.366132331721,0.0,0.0,0.0,46.0,25.5,2394.3646,24.290610000000004,7499.0033044436295,1732.5268325288987,278.0195,0.0,0.0,932.1110921233752,8747.059721036203
1968,0.0,0.0,25580.601642857142,83.88999999999999,921.0,10156.236490184114,0.0,0.0,0.0,46.0,25.5,2394.3646,24.381909999999944,7499.0033044436295,1743.9679577527936,278.0195,0.0,0.0,744.9510087512718,9825.780852286109
1969,0.0,0.0,25580.601642857142,83.88999999999999,921.0,5231.439413880735,0.0,0.0,0.0,46.0,25.5,2394.3646,24.07230000000006,7499.0033044436295,1785.3297757923096,278.0195,0.0,0.0,849.262660839952,11133.023263692507
1970,0.0,0.0,25580.601642857142,83.88999999999999,0.0,820.0087870638426,0.0,0.0,0.0,46.0,25.5,2394.3646,24.089719999999968,7499.0033044436295,1764.8970472280764,278.0195,0.0,0.0,765.8274124235519,13203.063315828218
